1,โอฬาริก สุรินต๊ะ (Olarik Surinta),เทคโนโลยีสารสนเทศ,ztfe_0gAAAAJ
2,วุฒิชัย วิเชียรไชย (Vuttichai Vichianchai),เทคโนโลยีสารสนเทศ,y4MiX3kAAAAJ
3,อาทิตยาพร โรจรัตน์ (Artittayapron Rojarath),เทคโนโลยีสารสนเทศ,8EEZkwwAAAAJ
4,ฉัตรตระกูล สมบัติธีระ (Chattrakul Sombattheera),เทคโนโลยีสารสนเทศ,yU7nwHoAAAAJ
5,จตุภูมิ จวนชัยภูมิ (Jatuphum Juanchaiyaphum),เทคโนโลยีสารสนเทศ,m8ymvdkAAAAJ
6,ชุมศักดิ์ สีบุญเรือง (Chumsak Sibunruang),เทคโนโลยีสารสนเทศ,NZubSeMAAAAJ
7,ปรีชา น้อยอำคา (Preecha Noiumkar),เทคโนโลยีสารสนเทศ,DTYK4YUAAAAJ
8,วิวัฒน์ ศรีภูมิ (Wiwat Sriphum),เทคโนโลยีสารสนเทศ,oeD7guIAAAAJ
9,ธนันชัย คำเกตุ (Thananchai Khamket),เทคโนโลยีสารสนเทศ,YRwJCfwAAAAJ
10,จารี ทองคำ (Jaree Thongkam),เทคโนโลยีสารสนเทศ,CcOJdAgAAAAJ
11,ธวัชชัย ชมศิริ (Thawatchai Chomsiri),เทคโนโลยีสารสนเทศ,KqyvshEAAAAJ
12,อนิรุทธ์ โชติถนอม (Anirut Chottanom),เทคโนโลยีสารสนเทศ,9EGu7CAAAAAJ
13,กวีพจน์ บรรลือวงศ์ ( Kaveepoj Banluewong),วิทยาการคอมฯ,3CdLGJQAAAAJ
14,อุมาภรณ์ สายแสงจันทร์ (Umaporn saisangjan),วิทยาการคอมฯ,-
15,สุชาติ คุ้มมะณี (Suchart Khummanee),วิทยาการคอมฯ,-YbGT1YAAAAJ
16,ฉัตรเกล้า เจริญผล (Chatklaw Jareanpon),วิทยาการคอมฯ,Qmg3RJUAAAAJ
17,มนัสวี แก่นอำพรพันธ์ (Manasawee Kaenampornpan),วิทยาการคอมฯ,AhT5YLQAAAAJ
18,สำรวน เวียงสมทุทร (Samruan Wiangsamut),วิทยาการคอมฯ,VBYBRoMAAAAJ
19,นฤเศรษฐ์ ประเสริฐศรี (Narueset Prasertsri),ภูมิสารสนเทศ,IgJYCBYAAAAJ
20,ภูสิษฐ์ คำพิลัง (Phusit Khamphilung),ภูมิสารสนเทศ,to4ZwUcAAAAJ
